instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time
house-votes-84,5,0.0,42,1.0,0.9137931034482759,0.9655172413793104,81.67944264411926
house-votes-84,5,0.01,42,0.9827586206896551,0.896551724137931,0.9655172413793104,601.9552991390228
house-votes-84,5,0.1,42,0.9655172413793104,0.9827586206896551,0.9655172413793104,5.4561967849731445
hayes-roth,5,0.0,42,0.9125,0.75,0.875,601.3738479614258
hayes-roth,5,0.01,42,0.9375,0.7,0.85,601.2693049907684
hayes-roth,5,0.1,42,0.8125,0.625,0.675,601.4868469238281
car-evaluation,5,0.0,42,0.71875,0.7291666666666666,0.7361111111111112,637.9407856464386
car-evaluation,5,0.01,42,0.6875,0.7129629629629629,0.7129629629629629,612.9085009098053
car-evaluation,5,0.1,42,0.6875,0.7129629629629629,0.7129629629629629,612.011396408081
breast-cancer,5,0.0,42,0.8695652173913043,0.7246376811594203,0.7142857142857143,602.3186593055725
breast-cancer,5,0.01,42,0.8405797101449275,0.7246376811594203,0.7,602.2177548408508
breast-cancer,5,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,602.0954174995422
balance-scale,5,0.0,42,0.75,0.7307692307692307,0.6305732484076433,604.6309995651245
balance-scale,5,0.01,42,0.7980769230769231,0.6987179487179487,0.6878980891719745,604.1470808982849
balance-scale,5,0.1,42,0.6314102564102564,0.6474358974358975,0.5668789808917197,604.5573740005493
monks-3,2,0.0,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,11.751549482345581
monks-3,2,0.01,53,0.7833935018050542,0.782608695652174,0.7194244604316546,8.361623048782349
monks-3,2,0.1,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,8.43642282485962
monks-2,2,0.0,53,0.66,0.6,0.5960264900662252,279.91146874427795
monks-2,2,0.01,53,0.66,0.6,0.5960264900662252,167.89237546920776
monks-2,2,0.1,53,0.6466666666666666,0.72,0.6158940397350994,144.14963150024414
monks-1,2,0.0,53,0.8093525179856115,0.7841726618705036,0.7050359712230215,67.41064429283142
monks-1,2,0.01,53,0.7769784172661871,0.7338129496402878,0.697841726618705,68.96635580062866
monks-1,2,0.1,53,0.7769784172661871,0.7338129496402878,0.697841726618705,59.22955536842346
tic-tac-toe,2,0.0,53,0.7077244258872651,0.7071129707112971,0.6791666666666667,600.5712938308716
tic-tac-toe,2,0.01,53,0.7035490605427975,0.6736401673640168,0.6791666666666667,273.50516510009766
tic-tac-toe,2,0.1,53,0.6659707724425887,0.6359832635983264,0.6458333333333334,93.16115999221802
spect,2,0.0,53,0.8120300751879699,0.746268656716418,0.8059701492537313,9.613171577453613
spect,2,0.01,53,0.8120300751879699,0.746268656716418,0.8059701492537313,7.50193452835083
spect,2,0.1,53,0.8120300751879699,0.746268656716418,0.8059701492537313,2.01959490776062
soybean-small,2,0.0,53,0.6521739130434783,0.9166666666666666,0.9166666666666666,1.1528809070587158
soybean-small,2,0.01,53,1.0,1.0,1.0,1.2486577033996582
soybean-small,2,0.1,53,1.0,1.0,1.0,0.9135539531707764
house-votes-84,2,0.0,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,2.6199557781219482
house-votes-84,2,0.01,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,3.2672626972198486
house-votes-84,2,0.1,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,0.7769205570220947
hayes-roth,2,0.0,53,0.675,0.625,0.55,15.910421133041382
hayes-roth,2,0.01,53,0.675,0.625,0.55,9.383888959884644
hayes-roth,2,0.1,53,0.65,0.575,0.55,7.235636234283447
car-evaluation,2,0.0,53,0.78125,0.7453703703703703,0.7685185185185185,600.801545381546
car-evaluation,2,0.01,53,0.78125,0.7453703703703703,0.7685185185185185,600.8080096244812
car-evaluation,2,0.1,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,344.00695395469666
breast-cancer,2,0.0,53,0.8260869565217391,0.7101449275362319,0.6571428571428571,52.01836800575256
breast-cancer,2,0.01,53,0.8260869565217391,0.7101449275362319,0.6571428571428571,81.39276123046875
breast-cancer,2,0.1,53,0.7391304347826086,0.7536231884057971,0.6,25.453938722610474
balance-scale,2,0.0,53,0.7435897435897436,0.6025641025641025,0.6496815286624203,191.5853796005249
balance-scale,2,0.01,53,0.6762820512820513,0.5961538461538461,0.6496815286624203,345.91918540000916
balance-scale,2,0.1,53,0.7115384615384616,0.6730769230769231,0.6751592356687898,167.99695205688477
monks-3,3,0.0,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,600.7453730106354
monks-3,3,0.01,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,600.6968605518341
monks-3,3,0.1,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,49.897631883621216
monks-2,3,0.0,53,0.69,0.6866666666666666,0.5629139072847682,600.7023241519928
monks-2,3,0.01,53,0.6866666666666666,0.62,0.609271523178808,600.8097581863403
monks-2,3,0.1,53,0.6466666666666666,0.72,0.6158940397350994,600.7727172374725
monks-1,3,0.0,53,0.8776978417266187,0.8273381294964028,0.7769784172661871,600.692768573761
monks-1,3,0.01,53,0.920863309352518,0.8705035971223022,0.841726618705036,600.692893743515
monks-1,3,0.1,53,0.7769784172661871,0.7338129496402878,0.697841726618705,600.6543273925781
tic-tac-toe,3,0.0,53,0.7620041753653445,0.7196652719665272,0.7375,601.7061882019043
tic-tac-toe,3,0.01,53,0.7494780793319415,0.6778242677824268,0.7291666666666666,601.6812539100647
tic-tac-toe,3,0.1,53,0.6659707724425887,0.6359832635983264,0.6458333333333334,601.6083669662476
spect,3,0.0,53,0.8270676691729323,0.746268656716418,0.746268656716418,600.6996047496796
spect,3,0.01,53,0.8120300751879699,0.746268656716418,0.8059701492537313,569.3781797885895
spect,3,0.1,53,0.8120300751879699,0.746268656716418,0.8059701492537313,2.0435848236083984
soybean-small,3,0.0,53,1.0,1.0,1.0,0.555511474609375
soybean-small,3,0.01,53,1.0,1.0,1.0,1.9358196258544922
soybean-small,3,0.1,53,1.0,0.8333333333333334,0.8333333333333334,6.815759897232056
house-votes-84,3,0.0,53,0.9913793103448276,0.9482758620689655,0.9655172413793104,39.44100594520569
house-votes-84,3,0.01,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,65.38709282875061
house-votes-84,3,0.1,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,1.1040453910827637
hayes-roth,3,0.0,53,0.8,0.675,0.725,600.2706348896027
hayes-roth,3,0.01,53,0.75,0.6,0.625,600.2881345748901
hayes-roth,3,0.1,53,0.7,0.675,0.6,600.2784450054169
car-evaluation,3,0.0,53,0.8171296296296297,0.7916666666666666,0.7962962962962963,602.401609659195
car-evaluation,3,0.01,53,0.8090277777777778,0.7962962962962963,0.8078703703703703,602.1665658950806
car-evaluation,3,0.1,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,602.2792837619781
breast-cancer,3,0.0,53,0.8333333333333334,0.6811594202898551,0.7,600.4955534934998
breast-cancer,3,0.01,53,0.8405797101449275,0.6811594202898551,0.7142857142857143,600.4812459945679
breast-cancer,3,0.1,53,0.7391304347826086,0.7536231884057971,0.6,585.1334209442139
balance-scale,3,0.0,53,0.7147435897435898,0.6858974358974359,0.7707006369426752,600.967474937439
balance-scale,3,0.01,53,0.7211538461538461,0.6346153846153846,0.6815286624203821,600.8477885723114
balance-scale,3,0.1,53,0.6538461538461539,0.6282051282051282,0.6942675159235668,600.8428544998169
monks-3,4,0.0,53,0.9927797833935018,0.9782608695652174,0.9928057553956835,601.8931086063385
monks-3,4,0.01,53,0.9927797833935018,0.9782608695652174,0.9928057553956835,601.9402885437012
monks-3,4,0.1,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,84.54999804496765
monks-2,4,0.0,53,0.75,0.6066666666666667,0.5960264900662252,601.9483211040497
monks-2,4,0.01,53,0.6766666666666666,0.6533333333333333,0.6158940397350994,603.0219278335571
monks-2,4,0.1,53,0.6466666666666666,0.72,0.6158940397350994,602.0492267608643
monks-1,4,0.0,53,0.9388489208633094,0.8992805755395683,0.8776978417266187,601.9580285549164
monks-1,4,0.01,53,0.9388489208633094,0.8992805755395683,0.8776978417266187,601.9709846973419
monks-1,4,0.1,53,0.7769784172661871,0.7338129496402878,0.697841726618705,603.6187582015991
tic-tac-toe,4,0.0,53,0.8058455114822547,0.7949790794979079,0.8333333333333334,604.5711960792542
tic-tac-toe,4,0.01,53,0.7390396659707724,0.7280334728033473,0.7125,604.3194351196289
tic-tac-toe,4,0.1,53,0.6659707724425887,0.6359832635983264,0.6458333333333334,604.513995885849
spect,4,0.0,53,0.8796992481203008,0.7611940298507462,0.7164179104477612,601.2448613643646
spect,4,0.01,53,0.8571428571428571,0.8208955223880597,0.8208955223880597,601.2942554950714
spect,4,0.1,53,0.8120300751879699,0.746268656716418,0.8059701492537313,4.28131365776062
