instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
car-evaluation,3,0.1,42,0.6875,0.7129629629629629,0.7129629629629629,54.000582456588745,0.0
car-evaluation,3,0,53,0.8171296296296297,0.7916666666666666,0.7962962962962963,1200.1109039783478,0.12658416579692913
car-evaluation,3,0.01,53,0.8090277777777778,0.7962962962962963,0.8078703703703703,1200.0829365253448,0.11373717393425159
car-evaluation,3,0.1,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,44.64270806312561,0.0
car-evaluation,4,0,37,0.8321759259259259,0.8310185185185185,0.8078703703703703,1200.1740770339966,0.20166898310709716
car-evaluation,4,0.01,37,0.8217592592592593,0.8055555555555556,0.7962962962962963,1200.3086750507355,0.21000893655049582
car-evaluation,4,0.1,37,0.6851851851851852,0.7430555555555556,0.6875,47.417258501052856,0.0
car-evaluation,4,0,42,0.8287037037037037,0.8333333333333334,0.8472222222222222,1200.1794431209564,0.20670366539423224
car-evaluation,4,0.01,42,0.8217592592592593,0.8333333333333334,0.8310185185185185,1200.1902968883514,0.23165668189099814
car-evaluation,4,0.1,42,0.6875,0.7129629629629629,0.7129629629629629,156.47203493118286,0.0
car-evaluation,4,0,53,0.84375,0.8078703703703703,0.8148148148148148,1200.1662814617157,0.18518518053382427
car-evaluation,4,0.01,53,0.8310185185185185,0.7893518518518519,0.8217592592592593,1200.120616197586,0.21018478102720872
car-evaluation,4,0.1,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,38.134111166000366,0.0
car-evaluation,5,0,37,0.8425925925925926,0.8333333333333334,0.7754629629629629,1200.2711493968964,0.18681318681319212
car-evaluation,5,0.01,37,0.8391203703703703,0.8356481481481481,0.8194444444444444,1200.2359192371368,0.2162493068078861
car-evaluation,5,0.1,37,0.6851851851851852,0.7430555555555556,0.6875,188.3914659023285,0.0
car-evaluation,5,0,42,0.8310185185185185,0.8356481481481481,0.8101851851851852,1200.3858835697174,0.20334261838427975
car-evaluation,5,0.01,42,0.8159722222222222,0.8263888888888888,0.8240740740740741,1200.3715102672577,0.2402086338776497
car-evaluation,5,0.1,42,0.6875,0.7129629629629629,0.7129629629629629,131.15616273880005,0.0
