instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
soybean-small,2,0.1,37,1.0,1.0,1.0,1.406283617,0.0
soybean-small,2,0.0,42,1.0,1.0,1.0,6.294961929,0.0
soybean-small,2,0.01,42,1.0,1.0,1.0,1.8544209,0.0
soybean-small,2,0.1,42,1.0,1.0,0.916666667,2.887098551,0.0
soybean-small,2,0.0,53,1.0,1.0,1.0,1.478089094,0.0
soybean-small,2,0.01,53,1.0,1.0,1.0,1.205013037,0.0
soybean-small,2,0.1,53,1.0,1.0,1.0,2.202854872,0.0
soybean-small,3,0.0,37,1.0,1.0,1.0,1.949956656,0.0
soybean-small,3,0.01,37,1.0,0.916666667,1.0,3.325035095,0.0
soybean-small,3,0.1,37,1.0,1.0,1.0,3.069023609,0.0
soybean-small,3,0.0,42,1.0,1.0,0.916666667,2.476283073,0.0
soybean-small,3,0.01,42,1.0,1.0,1.0,4.137874842,0.0
soybean-small,3,0.1,42,1.0,1.0,1.0,4.452125549,0.0
soybean-small,3,0.0,53,1.0,1.0,0.916666667,0.595975399,0.0
soybean-small,3,0.01,53,1.0,1.0,1.0,4.058569431,0.0
soybean-small,3,0.1,53,1.0,1.0,1.0,3.776098013,0.0
soybean-small,4,0.0,37,1.0,0.666666667,0.833333333,3.236887217,0.0
soybean-small,4,0.01,37,1.0,0.666666667,0.916666667,8.333315134,0.0
soybean-small,4,0.1,37,1.0,1.0,1.0,5.611023188,0.0
soybean-small,4,0.0,42,1.0,0.833333333,0.666666667,2.354900599,0.0
soybean-small,4,0.01,42,1.0,1.0,0.916666667,17.49670148,0.0
soybean-small,4,0.1,42,1.0,1.0,0.916666667,13.77500772,0.0
soybean-small,4,0.0,53,1.0,1.0,0.916666667,1.448608637,0.0
soybean-small,4,0.01,53,1.0,1.0,1.0,10.26500678,0.0
soybean-small,4,0.1,53,1.0,1.0,0.916666667,15.50512218,0.0
soybean-small,5,0.0,37,1.0,1.0,1.0,4.752416134,0.0
soybean-small,5,0.01,37,1.0,0.916666667,1.0,11.01088476,0.0
soybean-small,5,0.1,37,1.0,0.916666667,1.0,14.70303726,0.0
soybean-small,5,0.0,42,1.0,0.916666667,0.833333333,3.177004099,0.0
soybean-small,5,0.01,42,1.0,1.0,0.916666667,20.2453239,0.0
soybean-small,5,0.1,42,1.0,1.0,1.0,28.87623501,0.0
soybean-small,5,0.0,53,1.0,0.833333333,1.0,4.615871191,0.0
soybean-small,5,0.01,53,1.0,1.0,1.0,21.16677713,0.0
soybean-small,5,0.1,53,1.0,1.0,1.0,16.51254153,0.0
spect,2,0.0,37,0.789473684,0.76119403,0.835820896,14.3613112,0.0
spect,2,0.01,37,0.789473684,0.76119403,0.835820896,10.67654228,0.0
spect,2,0.1,37,0.789473684,0.76119403,0.835820896,5.867953777,0.0
spect,2,0.0,42,0.857142857,0.701492537,0.701492537,8.37599802,0.0
spect,2,0.01,42,0.857142857,0.701492537,0.701492537,13.90107369,0.0
spect,2,0.1,42,0.781954887,0.746268657,0.865671642,3.041027546,0.0
spect,2,0.0,53,0.812030075,0.746268657,0.805970149,11.14965272,0.0
spect,2,0.01,53,0.812030075,0.746268657,0.805970149,14.94900012,0.0
spect,2,0.1,53,0.812030075,0.746268657,0.805970149,1.860028505,0.0
spect,3,0.0,37,0.819548872,0.76119403,0.820895522,600.6423533,0.541666667
spect,3,0.01,37,0.789473684,0.76119403,0.835820896,600.9314153,0.123214286
spect,3,0.1,37,0.789473684,0.76119403,0.835820896,9.154924393,0.0
spect,3,0.0,42,0.902255639,0.71641791,0.701492537,223.2682493,0.0
spect,3,0.01,42,0.902255639,0.71641791,0.701492537,286.0011411,0.0
spect,3,0.1,42,0.781954887,0.746268657,0.865671642,11.98850632,0.0
spect,3,0.0,53,0.827067669,0.746268657,0.746268657,600.8211269,0.652173913
spect,3,0.01,53,0.812030075,0.746268657,0.805970149,554.6233242,0.0
spect,3,0.1,53,0.812030075,0.746268657,0.805970149,8.75559473,0.0
spect,4,0.0,37,0.819548872,0.746268657,0.805970149,601.7071228,0.916666667
spect,4,0.01,37,0.842105263,0.791044776,0.865671642,602.2905581,0.833333333
spect,4,0.1,37,0.789473684,0.76119403,0.835820896,6.149562359,0.0
spect,4,0.0,42,0.939849624,0.626865672,0.656716418,601.6314976,0.75
spect,4,0.01,42,0.917293233,0.71641791,0.71641791,601.965698,0.683950617
spect,4,0.1,42,0.781954887,0.746268657,0.865671642,7.222765446,0.0
spect,4,0.0,53,0.864661654,0.76119403,0.805970149,602.2102263,0.944444444
spect,4,0.01,53,0.812030075,0.746268657,0.805970149,601.804297,0.8608
spect,4,0.1,53,0.812030075,0.746268657,0.805970149,7.094970465,0.0
spect,5,0.0,37,0.92481203,0.746268657,0.805970149,606.4246161,1.0
spect,5,0.01,37,0.857142857,0.805970149,0.835820896,604.6226399,0.826804124
spect,5,0.1,37,0.789473684,0.76119403,0.835820896,27.23322344,0.0
spect,5,0.0,42,0.939849624,0.686567164,0.686567164,604.2042031,1.0
